command_count,session_duration_seconds,failed_login_attempts,unique_commands,login_attempts,files_accessed,suspicious_command_count,port_number,canary_triggered,bytes_sent,bytes_received,actual_label,predicted_anomaly,threat_score,threat_level
19,297,1,10,4,1,2,22,0,6532,1072,0,1,42.67,Medium
16,92,2,7,3,4,1,80,0,920,7590,0,1,39.27,Medium
20,54,7,7,5,4,1,443,0,11134,4050,0,1,46.11,Medium
21,98,1,8,6,5,3,80,0,3117,7954,0,1,40.75,Medium
16,172,0,5,4,3,0,443,0,2568,19742,0,1,46.27,Medium
16,224,5,7,7,2,1,22,0,5531,146156,0,1,48.08,Medium
16,133,3,6,11,2,0,443,0,2929,15258,0,1,47.72,Medium
23,140,2,9,9,4,0,80,0,8447,25189,0,1,44.06,Medium
14,373,1,7,7,1,3,80,0,7913,2756,0,1,45.43,Medium
13,135,4,7,5,4,4,22,0,3923,2610,1,1,39.9,Medium
14,414,4,10,6,3,3,22,0,779,4968,0,1,41.45,Medium
28,324,7,5,5,6,2,80,0,3117,64508,1,-1,51.63,Medium
20,699,1,4,13,3,2,22,0,3421,23830,0,-1,52.44,Medium
18,139,5,10,6,2,2,22,0,1701,2726,0,1,39.34,Medium
23,131,3,7,7,6,3,22,0,2253,2678,0,1,39.94,Medium
17,249,3,8,4,3,5,22,0,1500,6804,0,1,41.62,Medium
10,163,2,10,3,4,1,22,0,5044,3976,0,1,41.94,Medium
19,8,3,7,5,4,2,8080,0,3201,2043,0,-1,52.2,Medium
17,325,3,3,5,2,1,443,0,11618,8621,0,1,44.52,Medium
13,335,1,12,5,2,0,22,0,4655,46795,0,1,46.45,Medium
17,283,2,5,6,6,0,22,1,2006,1181,1,-1,52.94,Medium
23,334,2,7,5,3,2,22,0,5865,2677,1,1,39.32,Medium
13,152,2,8,6,7,3,80,0,15145,23073,0,1,42.33,Medium
20,304,3,5,6,5,2,443,0,1447,13403,1,1,41.14,Medium
21,47,6,7,5,2,3,443,0,2297,17104,0,1,45.95,Medium
15,196,4,8,2,4,1,22,0,961,6495,0,1,39.73,Medium
26,552,0,10,6,7,1,22,0,2327,109328,0,-1,54.25,Medium
16,87,2,9,5,1,4,22,0,1021,27270,1,1,42.54,Medium
12,280,1,7,5,7,2,22,0,1937,15170,0,1,41.52,Medium
23,484,3,7,2,5,2,22,0,35805,10333,0,-1,51.18,Medium
15,197,2,7,6,4,0,80,0,6549,2760,0,1,40.49,Medium
21,73,2,9,4,5,2,22,0,6102,10193,1,1,39.25,Medium
22,215,5,4,4,2,0,22,0,2681,2346,0,1,42.33,Medium
20,150,1,10,4,6,2,443,0,3804,823,0,1,42.73,Medium
15,326,1,4,5,3,6,22,0,2220,12644,0,1,47.25,Medium
18,469,4,9,4,4,2,22,0,73139,6182,0,-1,51.88,Medium
22,65,4,7,4,2,3,22,0,250,5000,1,1,39.76,Medium
4,313,2,6,8,4,2,443,0,3857,4539,0,1,46.76,Medium
21,69,3,5,1,2,1,80,0,6872,22607,0,1,42.61,Medium
17,185,3,6,8,2,2,22,0,1612,47105,0,1,41.28,Medium
21,72,3,7,4,2,3,22,0,11951,35114,0,1,42.37,Medium
20,394,3,9,7,5,2,443,0,1731,6235,0,1,42.59,Medium
15,347,3,11,6,5,3,22,0,654,52283,0,1,44.07,Medium
16,317,1,13,5,3,2,22,0,21580,3805,0,1,46.11,Medium
23,287,4,11,7,5,2,22,0,441,41758,0,1,44.64,Medium
19,127,2,10,3,6,4,80,0,1425,1161,0,1,41.25,Medium
20,222,2,11,3,6,3,80,0,2734,9714,1,1,40.76,Medium
18,271,2,9,4,4,4,80,0,4281,1502,1,1,40.63,Medium
24,231,2,7,8,7,2,80,1,4478,22222,1,-1,53.92,Medium
19,423,1,11,2,3,1,22,0,2221,47784,0,1,44.67,Medium
12,296,3,8,6,5,1,22,0,2049,20031,0,1,40.13,Medium
15,68,1,10,7,5,0,443,0,4128,737,0,1,46.76,Medium
20,177,1,8,2,8,3,443,0,3489,1297,0,1,46.19,Medium
16,125,3,7,5,2,1,22,0,6154,1384,0,1,38.38,Medium
20,355,3,9,3,4,2,80,0,947,1588,0,1,39.91,Medium
14,142,3,6,4,4,2,80,0,2587,26234,1,1,39.07,Medium
16,159,1,7,3,6,3,22,0,6002,2167,0,1,41.74,Medium
20,109,3,6,9,3,0,22,0,839,10836,0,1,42.04,Medium
17,557,5,12,8,5,1,22,0,358,55814,0,1,48.68,Medium
13,296,1,8,6,6,0,22,0,628,3764,0,1,42.46,Medium
20,64,6,8,4,6,1,80,0,2193,2457,1,1,42.32,Medium
16,211,4,6,4,5,1,80,0,4193,3428,0,1,38.38,Medium
19,84,3,5,3,6,2,22,0,1583,3597,0,1,39.48,Medium
20,231,4,9,6,2,3,22,0,589,317,0,1,40.19,Medium
18,143,0,8,2,5,1,8080,0,5747,2866,0,-1,56.67,Medium
14,145,7,8,7,3,0,22,0,4908,14930,0,1,45.74,Medium
24,328,4,9,1,5,0,22,0,3250,3507,0,1,44.28,Medium
15,180,8,6,5,6,2,22,0,3084,125559,0,-1,51.72,Medium
13,253,4,9,8,2,3,22,0,2663,101098,0,1,47.11,Medium
17,285,0,10,9,2,0,80,0,5263,26513,0,1,48.68,Medium
22,41,1,7,6,1,4,80,0,8647,2138,0,1,45.84,Medium
17,121,4,14,5,2,2,80,0,2472,2272,0,1,43.15,Medium
21,513,4,8,4,1,3,80,0,10549,16744,0,1,44.7,Medium
21,235,4,4,5,2,2,80,0,913,6884,0,1,39.75,Medium
22,215,2,9,8,4,3,22,0,11870,14764,0,1,41.12,Medium
27,47,1,8,5,2,3,443,0,6025,9328,0,1,47.82,Medium
19,456,5,8,5,5,3,22,0,5135,19579,0,1,41.83,Medium
15,364,2,3,4,1,0,22,0,3551,103997,0,1,47.93,Medium
19,395,3,6,3,6,2,22,0,1031,5543,0,1,40.01,Medium
16,130,5,9,2,5,3,80,0,1345,6756,0,1,41.14,Medium
18,200,2,6,4,8,2,22,0,5814,13926,0,1,40.77,Medium
20,107,4,7,5,4,1,22,0,791,8074,1,1,38.33,Medium
16,244,0,8,2,4,0,22,0,1186,2312,0,1,45.38,Medium
16,153,2,14,4,3,1,80,0,841,8165,1,1,43.03,Medium
26,380,7,5,2,4,0,22,0,1545,36070,0,-1,52.33,Medium
16,322,3,9,4,7,2,22,1,427,16533,1,-1,51.45,Medium
14,126,5,4,5,2,0,22,0,1500,9742,0,1,41.8,Medium
23,178,3,6,2,2,3,22,0,5163,6633,0,1,40.95,Medium
10,122,1,7,6,5,3,80,0,2985,1407,0,1,43.6,Medium
21,171,1,5,7,4,1,22,0,4990,12506,0,1,41.49,Medium
20,77,2,5,5,7,2,443,0,3924,2265,0,1,42.28,Medium
22,436,4,13,6,4,1,80,0,2531,35031,1,1,44.26,Medium
18,268,2,4,3,4,0,80,0,952,14071,0,1,42.15,Medium
13,49,4,9,8,5,2,22,0,18242,23364,1,1,43.99,Medium
18,130,3,10,6,4,1,22,0,4106,43657,0,1,41.08,Medium
13,84,3,2,1,1,3,22,0,9480,19718,0,1,47.98,Medium
10,257,5,6,6,3,3,22,0,236,25639,0,1,43.22,Medium
18,181,5,9,4,4,0,22,0,940,1386,0,1,41.06,Medium
15,517,1,5,5,5,4,8080,0,16707,11316,0,-1,59.34,Medium
22,384,5,5,4,7,3,80,0,245,9078,0,1,43.56,Medium
19,74,4,10,5,3,0,8080,0,48705,5675,0,-1,59.79,Medium
15,160,2,11,4,4,1,22,0,1040,9852,0,1,39.13,Medium
22,35,3,10,6,3,0,22,0,2757,15011,0,1,41.74,Medium
17,591,5,8,3,2,3,80,0,901,3226,0,1,45.12,Medium
17,301,2,7,7,4,1,22,0,1364,30421,0,1,40.52,Medium
17,233,6,7,3,2,1,22,0,1212,17168,0,1,41.27,Medium
16,264,3,4,2,2,3,22,0,2949,4249,0,1,41.15,Medium
24,153,3,11,1,2,3,22,0,822,2543,0,1,44.37,Medium
22,73,2,8,6,2,1,80,0,218,11002,0,1,40.26,Medium
26,101,3,7,4,2,0,80,0,4790,64926,0,1,45.87,Medium
20,231,4,11,5,3,0,22,0,9240,3167,0,1,41.8,Medium
20,149,6,9,6,6,0,22,0,4839,6423,0,1,42.8,Medium
13,97,2,3,2,5,3,22,0,7401,48957,0,1,46.59,Medium
20,89,5,7,6,5,0,22,0,1265,4670,0,1,40.45,Medium
15,36,3,17,7,2,2,80,0,4723,15388,0,1,47.92,Medium
10,178,2,4,4,5,3,80,0,4237,6654,0,1,43.32,Medium
15,192,3,10,2,3,1,80,0,1595,39064,0,1,41.91,Medium
23,149,2,13,6,6,1,22,0,14198,19151,0,1,43.2,Medium
17,216,2,11,8,5,3,80,0,858,6034,0,1,41.5,Medium
18,736,2,9,2,2,1,80,0,490,7624,0,1,46.45,Medium
20,123,1,7,2,2,1,80,0,1381,3802,0,1,41.61,Medium
20,169,3,12,4,2,4,80,0,659,2902,0,1,42.54,Medium
17,415,2,6,7,5,1,443,0,2139,17636,0,1,43.14,Medium
10,296,3,8,3,5,2,22,0,600,26757,0,1,43.12,Medium
13,554,4,9,8,6,2,22,0,1338,119991,0,-1,51,Medium
15,385,5,7,7,3,1,443,0,592,16038,0,1,44.12,Medium
25,126,3,7,7,5,3,22,0,237,10937,0,1,41.9,Medium
10,267,2,9,6,5,0,22,0,776,39341,0,1,44.7,Medium
17,380,4,7,4,8,0,22,0,8578,4187,0,1,43.71,Medium
11,419,3,6,8,4,3,22,0,2348,4713,0,1,44.31,Medium
18,106,6,8,3,3,3,22,0,3732,2430,0,1,42.2,Medium
24,112,3,11,7,7,2,22,0,846,14903,1,1,42.25,Medium
16,166,8,10,4,3,1,22,0,7976,18584,1,1,45.78,Medium
17,329,2,8,3,2,3,22,0,4762,21177,0,1,40.74,Medium
25,287,5,8,2,7,2,80,0,1068,13317,0,1,44.7,Medium
19,86,7,13,3,2,2,80,0,1714,26759,0,1,48.64,Medium
16,16,5,6,3,7,1,22,0,7026,11424,0,1,43.6,Medium
10,39,3,14,4,2,4,80,1,505,44260,1,-1,61.16,High
26,49,3,9,1,3,3,22,0,3295,10123,0,1,44.52,Medium
15,426,4,12,6,5,2,22,0,2003,11191,0,1,40.98,Medium
15,128,3,4,3,2,1,22,0,5752,1074,0,1,39.98,Medium
15,499,7,9,4,9,3,8080,0,9389,3417,1,-1,61.26,High
16,343,5,9,5,1,2,22,0,8556,2547,1,1,41.46,Medium
19,585,9,9,2,6,2,443,0,1284,4854,0,-1,52.29,Medium
21,232,2,14,4,4,1,443,0,5844,80218,0,1,49.12,Medium
22,224,5,6,6,2,1,22,0,1524,2182,0,1,39.35,Medium
25,434,1,7,8,9,1,22,0,962,8294,0,1,48.95,Medium
10,159,3,9,8,2,2,80,0,4414,20809,0,1,42.7,Medium
12,51,3,9,6,3,1,80,0,334,13060,0,1,41.58,Medium
28,112,1,6,4,5,2,22,0,1192,5644,0,1,44.41,Medium
23,168,1,1,8,4,0,22,0,944,28866,0,1,46.57,Medium
20,160,4,5,6,6,1,443,0,688,17681,0,1,42.25,Medium
12,663,2,10,13,2,1,22,0,2210,7604,0,-1,52.99,Medium
18,423,0,7,2,3,2,443,0,880,877,0,1,47.65,Medium
16,211,4,7,4,4,1,22,0,3930,12806,0,1,38.07,Medium
26,69,4,6,3,7,1,22,1,2543,29399,1,-1,54.53,Medium
17,31,5,8,3,1,3,8080,0,1081,10734,1,-1,56.87,Medium
15,99,3,8,5,3,3,443,0,36498,865,0,-1,51.12,Medium
13,217,3,13,2,3,2,22,0,4338,3223,0,1,42.33,Medium
15,180,1,4,4,4,4,80,0,5471,15454,0,1,42.71,Medium
16,119,4,11,1,5,1,22,0,10707,5259,0,1,44.18,Medium
17,165,3,5,7,3,4,22,0,2131,56481,0,1,44.27,Medium
35,543,5,11,8,5,0,22,0,6893,9130,1,-1,51.01,Medium
19,75,5,11,5,5,2,22,0,10666,3583,0,1,41.33,Medium
19,539,6,10,7,1,2,22,0,1450,12010,0,1,45.95,Medium
18,62,1,8,3,3,2,443,0,6353,4230,0,1,43.1,Medium
13,129,5,3,5,4,2,443,0,15132,1111,0,1,45.87,Medium
19,195,2,3,6,5,1,22,0,902,4913,0,1,40.44,Medium
16,511,4,8,4,2,2,22,0,1460,21324,0,1,41.03,Medium
20,139,0,6,5,3,3,80,0,5406,3925,0,1,43.47,Medium
21,199,3,9,2,7,2,443,0,7263,6414,0,1,44.31,Medium
16,130,3,8,7,4,1,22,0,24288,13447,0,1,43.88,Medium
20,96,3,7,3,3,2,22,0,11979,14257,0,1,39.31,Medium
20,55,5,12,5,7,2,22,0,3280,987,0,1,42.67,Medium
21,49,5,9,9,2,1,22,0,2209,5767,0,1,42.8,Medium
18,281,0,8,5,5,1,80,0,2218,41574,0,1,45,Medium
20,334,0,5,2,4,3,443,0,3754,35518,0,1,48.58,Medium
21,175,1,9,7,5,1,22,0,2614,884,0,1,41.2,Medium
15,351,3,8,10,4,1,443,0,10026,9876,0,1,46.45,Medium
20,313,5,8,3,3,3,443,0,7748,8591,0,1,43.97,Medium
8,107,4,6,4,10,2,22,0,2459,4755,0,1,46.34,Medium
19,191,4,9,7,4,2,443,0,2458,35827,0,1,42.72,Medium
21,147,5,7,3,4,2,8080,0,8823,10354,0,-1,53.53,Medium
23,177,4,4,6,4,0,22,0,2283,6676,0,1,41.25,Medium
16,136,5,8,9,5,3,443,0,3066,5186,0,1,43.67,Medium
27,33,4,10,4,5,1,22,0,1935,604,0,1,43.87,Medium
18,114,3,9,7,5,2,22,0,779,5628,0,1,38.79,Medium
19,216,2,7,5,4,0,22,0,1609,36350,0,1,40.71,Medium
17,105,4,7,3,4,4,80,0,943,5020,0,1,39.86,Medium
21,125,5,4,3,3,2,22,0,468,2719,0,1,40.48,Medium
16,562,2,7,4,4,1,443,0,8856,14663,0,1,44.9,Medium
18,268,5,5,6,5,1,22,0,3675,4017,1,1,39.29,Medium
17,511,1,10,4,6,2,22,0,894,5153,0,1,42.74,Medium
13,21,1,7,6,3,1,22,0,4697,40128,0,1,44.25,Medium
18,261,3,8,4,5,0,80,0,613,2117,0,1,40.2,Medium
15,105,3,11,3,10,4,22,0,255,10764,0,1,47.29,Medium
16,78,5,8,8,1,0,80,0,4285,1594,0,1,44.32,Medium
16,64,2,7,4,7,4,443,1,28185,57110,1,-1,62.05,High
16,225,3,7,5,9,3,80,0,731,7580,1,1,42.81,Medium
12,116,5,5,3,2,1,80,0,3741,2951,0,1,41.69,Medium
17,314,4,9,2,5,2,22,0,2194,24660,0,1,40.28,Medium
17,346,2,10,3,9,1,22,0,7092,148621,0,-1,54.42,Medium
14,82,3,5,4,4,2,8080,0,2017,1998,0,-1,51.71,Medium
11,102,2,8,6,5,4,22,0,2191,60094,0,1,45.26,Medium
26,354,10,7,6,5,0,22,0,6533,3515,1,-1,51.17,Medium
18,169,4,6,5,3,1,8080,0,2436,9480,0,-1,50.13,Medium
13,144,2,8,11,1,2,22,0,4122,8735,0,1,44.63,Medium
20,236,3,11,3,4,1,22,0,726,10579,0,1,40.07,Medium
13,238,1,14,6,2,0,443,0,13247,7315,0,-1,50.3,Medium
19,238,6,3,6,1,3,22,0,2221,7970,0,1,44.68,Medium
14,107,1,9,2,4,2,22,0,10631,3032,0,1,42.28,Medium
17,129,3,9,4,5,0,22,0,9447,1480,0,1,40.46,Medium
18,35,3,6,3,2,1,22,0,3584,5384,0,1,39.68,Medium
20,193,4,11,9,2,3,443,0,818,45858,1,1,47.89,Medium
20,579,4,9,3,5,2,22,0,7746,2076,0,1,42.37,Medium
17,95,1,2,6,5,1,8080,0,4189,38206,0,-1,56.41,Medium
24,160,2,14,6,3,1,22,0,10688,708,0,1,45.53,Medium
15,409,7,4,10,5,3,22,0,9047,6271,0,-1,50.71,Medium
17,187,0,6,1,6,5,80,0,8801,6001,0,1,49.72,Medium
12,335,3,4,1,6,0,22,0,5941,32384,0,1,47.03,Medium
25,377,1,6,8,1,0,443,0,4304,10973,0,-1,51.04,Medium
11,192,4,11,7,3,2,22,0,3293,5457,0,1,41.68,Medium
12,249,2,3,3,5,1,80,0,980,2498,0,1,43.08,Medium
18,116,1,4,8,8,3,22,0,1095,14700,0,1,46.12,Medium
22,357,3,7,1,3,2,80,0,2772,29389,0,1,42.37,Medium
27,202,0,11,3,5,4,22,0,3053,64619,0,-1,52.19,Medium
24,424,4,8,5,8,1,22,0,5652,24986,0,1,43.79,Medium
22,159,1,5,1,5,2,80,0,3975,440,0,1,43.4,Medium
18,509,1,8,3,5,0,22,0,1332,3267,0,1,44.9,Medium
20,144,5,9,6,6,5,80,0,8758,105459,0,-1,50.27,Medium
14,195,3,6,8,1,2,22,0,7072,4301,0,1,41.5,Medium
14,93,1,7,9,5,1,22,0,1270,26977,0,1,43.06,Medium
26,146,7,6,3,3,0,22,0,2867,12169,0,1,48.23,Medium
18,71,1,12,5,2,4,22,0,1982,6326,0,1,43.07,Medium
23,417,3,6,5,5,1,443,0,2503,23148,0,1,43.1,Medium
13,111,5,7,9,6,2,22,0,2308,4609,1,1,41.49,Medium
25,314,2,6,7,2,0,22,0,4317,9050,0,1,44.07,Medium
24,88,3,14,3,4,0,80,0,11476,2829,0,1,47.47,Medium
16,27,2,6,6,7,2,8080,0,4444,2390,0,-1,52.54,Medium
15,70,3,6,5,6,0,22,0,1034,3016,0,1,40.6,Medium
16,50,6,6,5,4,6,22,0,2794,12405,0,1,47.48,Medium
16,221,4,6,3,0,3,443,0,2498,5976,0,1,44.39,Medium
16,336,4,12,4,10,5,22,1,6098,467,1,-1,59.43,Medium
16,397,1,4,7,3,1,22,0,2846,34938,0,1,44.4,Medium
17,139,0,9,2,4,1,443,0,2098,29883,0,1,46.29,Medium
22,289,2,3,5,8,2,22,1,1697,23842,1,-1,54.47,Medium
23,214,5,6,6,2,2,22,0,1818,18897,0,1,39.71,Medium
17,92,6,14,6,2,2,8080,0,1302,7164,0,-1,57.25,Medium
17,177,2,6,8,2,1,22,0,23716,4607,0,1,44.66,Medium
20,200,4,14,4,3,2,22,0,4828,2506,1,1,42.01,Medium
16,245,3,8,9,3,3,80,0,2256,37621,0,1,42.83,Medium
19,304,5,9,5,7,3,22,0,199,39767,0,1,43.86,Medium
10,176,4,8,10,3,6,443,0,1103,22090,0,-1,52.16,Medium
17,275,3,7,7,6,2,443,0,1450,23255,0,1,41.65,Medium
17,202,3,9,3,8,3,22,0,3596,23361,0,1,41.35,Medium
28,415,4,9,3,3,1,443,0,7498,3314,0,1,47.89,Medium
17,429,4,10,8,5,2,443,0,4564,41426,0,1,45.89,Medium
14,386,4,7,8,2,6,22,0,1121,4716,0,1,47.31,Medium
14,147,1,6,4,2,2,443,0,2071,1110,0,1,41.97,Medium
22,342,3,9,5,5,2,22,0,16634,7228,0,1,41.24,Medium
23,545,0,6,7,2,0,22,0,5548,79016,0,-1,53.88,Medium
16,95,1,6,5,6,1,22,0,955,2124,0,1,40.53,Medium
24,429,3,9,6,6,2,8080,0,440,13380,0,-1,54.2,Medium
17,306,6,9,8,4,2,22,0,19592,11853,0,1,44.79,Medium
25,64,5,6,6,4,3,443,0,4548,7593,0,1,45.11,Medium
12,807,0,6,3,4,1,22,0,1265,9439,0,1,48.59,Medium
14,298,1,5,4,2,3,22,0,603,32320,0,1,43.58,Medium
18,264,1,12,3,5,0,443,0,1644,7232,0,1,46.62,Medium
21,15,1,9,5,6,3,8080,0,291,2626,0,-1,56.72,Medium
17,78,5,14,5,1,2,22,0,796,3071,0,1,45.11,Medium
22,141,9,14,4,3,4,22,0,2943,31510,1,-1,52.1,Medium
14,367,4,5,4,5,1,22,0,5269,12102,0,1,40.04,Medium
9,244,0,8,7,3,2,443,0,12060,33512,0,-1,51.05,Medium
18,149,4,5,3,5,2,443,0,2597,2554,0,1,41.07,Medium
22,310,6,6,4,3,1,22,0,2204,2221,0,1,41.17,Medium
21,143,3,5,4,1,1,8080,1,8272,7792,1,-1,61.27,High
22,409,2,11,5,5,5,22,0,1534,6776,0,1,44.04,Medium
19,351,1,5,5,1,1,80,0,8220,4613,0,1,43.17,Medium
17,26,1,8,7,3,3,22,0,8759,33733,0,1,44.86,Medium
21,214,1,6,8,5,2,22,0,1396,14378,0,1,41.47,Medium
7,338,5,9,5,4,0,22,0,1004,10416,0,1,46.23,Medium
23,126,0,11,3,1,1,22,0,11319,1126,0,1,48.27,Medium
11,156,6,8,12,1,4,22,0,1561,15483,1,-1,52.63,Medium
19,205,2,11,2,3,2,22,0,4632,176301,0,1,49.21,Medium
18,110,3,7,7,8,2,22,0,8370,4541,0,1,41.43,Medium
18,166,6,7,3,2,1,22,0,7082,1901,0,1,40.8,Medium
21,156,3,7,1,1,2,22,0,9345,6047,0,1,42.45,Medium
13,214,1,6,2,4,5,80,0,12576,18636,0,1,45.61,Medium
21,105,1,7,5,2,2,22,0,4365,15968,0,1,40.04,Medium
23,375,6,11,3,4,0,22,0,3620,1078,0,1,47.18,Medium
18,203,3,9,4,3,2,80,0,1654,1092,0,1,38.02,Medium
16,52,2,7,6,6,4,22,0,3880,13819,0,1,41.6,Medium
16,355,1,9,3,4,0,22,0,6109,2592,0,1,43.01,Medium
18,125,6,10,4,2,1,80,0,3091,3042,0,1,41.82,Medium
24,194,1,12,14,3,2,22,0,1097,15499,0,1,49.03,Medium
16,300,4,12,2,4,1,80,0,3226,1893,0,1,42.23,Medium
10,60,5,11,8,4,0,80,0,9758,6406,0,1,47.71,Medium
26,286,2,10,4,2,1,22,0,9770,20551,0,1,42.89,Medium
8,378,2,5,5,4,4,80,1,9494,4181,1,-1,57.25,Medium
20,59,3,7,2,1,1,22,0,16008,21807,0,1,44.33,Medium
18,408,5,10,11,5,3,80,0,4308,23642,0,1,48.03,Medium
16,227,7,10,6,3,5,80,0,2218,5784,0,1,46.67,Medium
19,29,0,12,5,2,0,22,0,1341,3382,0,1,46.39,Medium
12,60,5,10,3,3,1,22,0,37644,4770,1,-1,50.29,Medium
19,94,3,8,6,3,1,22,0,3729,12367,0,1,38.24,Medium
24,333,5,5,5,4,2,22,0,4687,11621,0,1,41.25,Medium
21,585,0,8,6,7,4,22,0,912,16449,1,1,49.31,Medium
19,37,3,8,5,4,2,80,0,853,1354,0,1,39.89,Medium
