ip_address,command_count,session_duration_seconds,failed_login_attempts,unique_commands,login_attempts,files_accessed,suspicious_command_count,port_number,protocol,canary_triggered,honeypot_type,bytes_sent,bytes_received,actual_label,threat_score
192.168.224.113,20,156,6,9,3,4,1,80,SSH,0,Web-Honeypot,769,1482,1,55
192.168.121.124,17,273,2,8,13,6,0,22,HTTPS,0,Web-Honeypot,8449,15315,0,50
192.168.209.151,17,243,4,7,3,3,0,22,SSH,0,Cowrie-SSH,3529,19369,0,44
192.168.44.87,19,111,3,10,3,4,1,443,SSH,0,Cowrie-SSH,3134,22920,0,35
192.168.41.117,23,144,2,3,10,1,1,443,SSH,0,Fake-Admin-Panel,6019,12280,0,36
192.168.233.13,15,206,4,8,3,6,1,22,HTTPS,0,Cowrie-SSH,20008,1698,0,35
192.168.120.45,19,201,3,8,5,3,0,22,HTTP,0,Fake-Admin-Panel,10560,4683,0,24
192.168.188.151,16,117,2,5,5,3,3,22,SSH,0,Web-Honeypot,732,4871,0,32
192.168.2.205,16,226,1,16,8,5,2,8080,HTTPS,0,Fake-Admin-Panel,307,30731,1,52
192.168.92.73,12,153,3,6,3,3,3,80,HTTPS,0,Fake-Admin-Panel,1501,4985,0,39
192.168.104.88,19,179,3,5,5,4,1,22,SSH,1,Web-Honeypot,691,100262,0,50
192.168.108.106,20,29,1,12,5,7,2,22,SSH,0,Cowrie-SSH,4390,7729,0,44
192.168.116.129,12,102,4,3,4,4,4,8080,SSH,0,Cowrie-SSH,2999,1394,0,39
192.168.141.138,10,307,5,8,5,0,3,22,SSH,0,Cowrie-SSH,8953,7914,0,29
192.168.213.59,29,178,1,7,8,2,0,22,SSH,0,Cowrie-SSH,5686,9422,0,30
192.168.194.180,16,185,2,3,2,6,2,22,SSH,0,Cowrie-SSH,992,1501,0,39
192.168.88.249,19,494,4,10,5,3,2,22,SSH,0,Fake-Admin-Panel,255,7077,0,29
192.168.56.40,16,195,1,6,2,5,3,80,HTTPS,0,Web-Honeypot,100376,42357,0,31
192.168.207.55,20,201,1,11,5,10,0,22,HTTP,0,Web-Honeypot,5365,672,0,42
192.168.160.67,17,174,2,12,4,9,1,22,SSH,0,Cowrie-SSH,2810,2903,0,40
192.168.75.101,13,367,2,6,10,3,4,22,HTTPS,0,Fake-Admin-Panel,484,10626,0,30
192.168.42.154,18,354,4,10,5,5,3,22,SSH,0,Cowrie-SSH,781,9329,0,34
192.168.202.155,11,168,1,9,10,8,3,22,SSH,0,Cowrie-SSH,12737,1388,0,20
192.168.249.9,20,26,3,12,5,7,3,443,SSH,0,Web-Honeypot,3456,32213,0,43
192.168.227.115,16,104,3,11,5,2,5,22,SSH,0,Cowrie-SSH,849,21959,0,36
192.168.123.143,21,197,1,5,6,4,4,80,SSH,0,Fake-Admin-Panel,5882,9877,0,30
192.168.103.127,11,134,1,9,2,2,0,443,SSH,1,Fake-Admin-Panel,10616,144313,1,59
192.168.187.199,18,235,4,10,7,2,2,80,SSH,0,Web-Honeypot,2905,4055,0,44
192.168.210.146,12,129,2,9,11,3,2,22,HTTP,0,Cowrie-SSH,3201,15939,0,37
192.168.183.90,20,375,2,7,5,5,1,22,HTTPS,0,Web-Honeypot,531,12144,0,29
192.168.33.52,22,182,4,5,2,1,1,80,HTTPS,0,Cowrie-SSH,620,15549,0,21
192.168.40.39,17,155,3,9,2,3,2,8080,HTTP,1,Fake-Admin-Panel,6741,16268,0,43
192.168.103.10,15,304,3,10,5,3,4,22,SSH,0,Web-Honeypot,1405,13801,1,52
192.168.86.131,16,86,6,9,7,5,1,22,SSH,0,Cowrie-SSH,1458,4052,1,59
192.168.130.122,22,236,2,9,8,3,4,22,SSH,0,Web-Honeypot,1444,9222,0,36
192.168.163.70,25,252,2,7,4,5,5,22,SSH,0,Fake-Admin-Panel,1421,2265,0,49
192.168.68.156,21,326,0,12,2,3,1,443,HTTPS,0,Fake-Admin-Panel,2189,3162,0,19
192.168.153.211,19,131,4,6,2,4,2,22,SSH,0,Fake-Admin-Panel,4771,15748,0,32
192.168.250.131,22,148,6,7,5,5,3,22,HTTP,0,Cowrie-SSH,3388,222945,0,49
192.168.240.35,14,546,3,11,8,3,1,22,HTTP,0,Cowrie-SSH,642,7964,0,49
192.168.223.34,13,324,6,10,6,1,0,443,HTTP,0,Fake-Admin-Panel,3955,4098,0,39
192.168.126.75,23,224,3,5,2,2,1,22,HTTP,0,Web-Honeypot,1271,60127,0,43
192.168.117.193,16,477,7,9,3,3,1,8080,SSH,0,Cowrie-SSH,3573,2275,0,37
192.168.79.179,23,286,6,6,4,4,3,22,SSH,0,Fake-Admin-Panel,9707,2747,0,37
192.168.45.122,15,207,4,15,4,3,1,80,HTTPS,0,Cowrie-SSH,1145,80753,0,30
192.168.35.13,15,348,6,7,5,6,1,443,SSH,0,Web-Honeypot,1783,6030,0,36
192.168.209.246,14,247,3,6,5,3,2,22,HTTPS,0,Cowrie-SSH,2818,5026,0,32
192.168.121.239,16,113,5,7,4,6,4,80,SSH,0,Cowrie-SSH,251,10870,0,36
192.168.83.52,19,440,3,7,5,7,1,22,HTTP,0,Cowrie-SSH,7363,6154,0,44
192.168.16.249,19,276,2,7,4,2,2,443,HTTP,0,Fake-Admin-Panel,1964,64658,0,47
192.168.146.28,18,167,2,8,9,4,0,80,SSH,0,Web-Honeypot,1696,29291,0,32
192.168.226.165,18,243,1,9,3,4,2,22,SSH,0,Cowrie-SSH,6466,6846,0,33
192.168.247.135,12,193,2,14,8,4,2,80,HTTPS,0,Cowrie-SSH,3205,3763,0,30
192.168.240.92,14,263,0,12,1,7,0,22,SSH,0,Cowrie-SSH,20170,8675,0,26
192.168.17.144,15,461,0,9,3,5,1,22,SSH,0,Cowrie-SSH,28995,7790,0,21
192.168.187.54,19,341,2,12,5,4,2,22,SSH,0,Web-Honeypot,10720,33879,0,35
192.168.8.209,13,212,2,5,8,2,0,22,HTTPS,0,Fake-Admin-Panel,1619,407,0,23
192.168.33.103,16,190,1,6,4,5,4,80,HTTP,0,Web-Honeypot,219,4476,0,31
192.168.35.239,24,46,2,3,2,3,2,22,SSH,0,Cowrie-SSH,2267,25541,0,38
192.168.145.204,19,231,4,5,3,7,5,22,SSH,0,Web-Honeypot,1552,4295,0,47
192.168.248.74,16,136,1,7,5,4,2,80,HTTPS,0,Cowrie-SSH,4146,24419,1,56
192.168.141.57,14,128,2,11,3,5,2,22,HTTP,0,Cowrie-SSH,4443,795,0,50
192.168.95.243,15,300,4,8,5,3,3,443,SSH,0,Web-Honeypot,11091,11693,0,30
192.168.212.220,9,186,5,6,4,3,1,443,SSH,0,Web-Honeypot,2756,16273,0,46
192.168.108.76,24,183,3,8,3,6,0,443,SSH,0,Cowrie-SSH,4437,23238,0,37
192.168.207.220,12,209,1,8,7,6,0,80,HTTP,0,Fake-Admin-Panel,80760,11106,0,48
192.168.143.205,18,256,1,11,1,8,3,22,SSH,0,Fake-Admin-Panel,2044,1879,0,48
192.168.106.37,16,54,4,9,3,4,4,443,HTTPS,0,Cowrie-SSH,579,3239,0,37
192.168.136.92,17,300,2,6,10,5,2,8080,SSH,0,Cowrie-SSH,1194,9464,0,41
192.168.56.156,19,143,5,6,4,3,4,443,SSH,0,Cowrie-SSH,2845,2400,1,63
192.168.236.50,20,119,1,3,5,0,1,22,SSH,0,Fake-Admin-Panel,1757,5075,0,37
192.168.224.144,12,203,4,8,4,5,5,22,HTTP,0,Cowrie-SSH,746,11142,0,32
192.168.76.230,17,107,3,10,10,2,2,22,SSH,0,Web-Honeypot,8408,16484,0,20
192.168.157.3,18,12,1,4,4,3,4,22,SSH,0,Cowrie-SSH,7804,3370,0,29
192.168.15.183,13,143,5,2,2,4,4,22,HTTPS,0,Cowrie-SSH,5159,1706,1,51
192.168.184.16,22,232,5,8,5,4,1,22,SSH,0,Web-Honeypot,2437,3671,0,32
192.168.53.88,13,216,3,14,3,4,1,443,SSH,0,Web-Honeypot,3178,9720,0,49
192.168.219.122,29,173,7,9,4,5,3,22,SSH,0,Cowrie-SSH,9082,14940,0,41
192.168.163.182,24,108,2,12,4,3,1,22,HTTP,1,Fake-Admin-Panel,2897,2303,1,64
192.168.164.194,21,157,2,7,6,2,2,8080,SSH,0,Cowrie-SSH,3445,9863,0,19
192.168.31.57,16,87,2,9,5,1,4,22,HTTP,0,Web-Honeypot,1021,27270,1,53
192.168.217.240,24,241,4,13,4,8,2,22,HTTP,0,Cowrie-SSH,6276,13859,1,52
192.168.4.123,19,138,3,5,7,5,1,443,HTTPS,0,Web-Honeypot,1254,100446,0,50
192.168.84.214,20,210,3,6,6,7,1,22,SSH,0,Cowrie-SSH,3984,10705,0,31
192.168.131.82,17,163,3,7,5,3,6,22,SSH,0,Cowrie-SSH,10268,3401,0,42
192.168.104.68,17,150,3,2,5,4,2,22,SSH,0,Cowrie-SSH,1162,508,0,39
192.168.72.156,25,225,3,11,9,4,3,22,HTTPS,0,Cowrie-SSH,11554,11015,0,39
192.168.155.47,10,252,3,3,3,5,1,80,SSH,0,Cowrie-SSH,13091,3727,0,37
192.168.1.29,29,128,2,6,7,6,3,80,SSH,0,Web-Honeypot,18292,7556,0,28
192.168.133.166,22,36,1,6,1,6,0,22,SSH,0,Cowrie-SSH,1560,6897,0,41
192.168.4.217,24,128,1,4,2,3,0,80,SSH,0,Fake-Admin-Panel,1158,8256,0,33
192.168.193.51,12,82,2,9,6,5,2,80,SSH,1,Fake-Admin-Panel,4978,5695,1,72
192.168.236.155,14,436,0,8,4,4,4,443,HTTP,0,Cowrie-SSH,4309,11561,0,47
192.168.7.154,6,220,3,6,5,3,1,443,SSH,0,Cowrie-SSH,1790,18573,0,30
192.168.230.243,15,499,7,9,4,9,3,8080,HTTP,0,Cowrie-SSH,9389,3417,1,53
192.168.225.216,23,20,3,7,3,4,1,22,SSH,0,Fake-Admin-Panel,6076,7768,0,40
192.168.253.15,15,252,1,4,4,4,4,22,HTTP,0,Web-Honeypot,2228,17322,0,46
192.168.107.19,15,312,4,6,3,4,1,22,HTTP,0,Cowrie-SSH,6752,21681,0,39
192.168.76.77,18,268,0,6,3,6,2,22,SSH,0,Cowrie-SSH,10215,3184,0,34
192.168.73.97,18,173,5,5,5,4,0,22,SSH,0,Cowrie-SSH,70242,11305,0,33
192.168.117.201,25,150,3,10,5,4,2,22,SSH,0,Fake-Admin-Panel,33618,34764,0,42
192.168.21.185,16,110,1,4,3,3,1,80,SSH,0,Cowrie-SSH,6717,32784,0,30
192.168.99.114,21,201,3,7,5,6,2,22,SSH,0,Cowrie-SSH,5062,5187,1,57
192.168.50.117,23,585,3,6,4,7,3,22,SSH,1,Cowrie-SSH,724,41925,1,54
192.168.90.155,20,353,1,10,6,3,2,80,SSH,0,Cowrie-SSH,1536,5176,0,46
192.168.92.20,16,165,1,8,7,3,3,22,SSH,0,Cowrie-SSH,382,12033,0,33
192.168.61.38,27,139,3,2,4,0,6,22,HTTP,1,Cowrie-SSH,10677,7062,1,73
192.168.79.186,15,187,3,8,3,2,2,443,SSH,0,Cowrie-SSH,23666,39968,0,25
192.168.112.35,15,264,2,13,4,4,0,22,HTTP,0,Web-Honeypot,595,12239,0,39
192.168.95.249,19,334,2,11,4,2,1,22,SSH,0,Cowrie-SSH,4363,16157,0,31
192.168.208.184,22,122,1,6,2,2,2,22,SSH,0,Cowrie-SSH,19366,27078,0,23
192.168.196.131,23,847,4,11,5,6,2,22,HTTPS,0,Cowrie-SSH,10016,24539,0,41
192.168.148.186,22,39,2,6,6,5,1,80,SSH,0,Fake-Admin-Panel,2368,1667,0,27
192.168.62.77,22,171,2,5,3,5,2,80,HTTPS,0,Web-Honeypot,7827,26656,0,43
192.168.55.30,18,401,2,10,7,4,0,80,HTTPS,0,Web-Honeypot,18379,11305,0,29
192.168.188.246,16,450,3,5,6,5,1,22,SSH,0,Cowrie-SSH,14086,18008,0,42
192.168.55.80,22,181,2,3,3,4,4,443,SSH,0,Cowrie-SSH,5171,2185,0,32
192.168.213.150,17,283,1,8,5,6,2,22,SSH,0,Cowrie-SSH,4431,27534,0,39
192.168.14.90,22,456,3,6,11,5,1,22,HTTP,0,Web-Honeypot,3979,7631,0,17
192.168.83.53,19,134,3,8,5,2,2,8080,HTTP,0,Cowrie-SSH,2594,20592,0,46
192.168.46.117,12,213,5,8,5,3,2,80,SSH,0,Cowrie-SSH,1605,23920,0,34
192.168.37.74,20,306,1,9,5,3,3,22,HTTP,0,Web-Honeypot,5025,37834,0,32
192.168.249.247,22,83,1,6,3,2,3,443,SSH,0,Cowrie-SSH,3127,1207,0,42
192.168.17.145,15,227,4,4,5,0,4,22,SSH,0,Cowrie-SSH,2343,24512,0,36
192.168.60.92,16,258,4,8,8,6,3,22,SSH,0,Cowrie-SSH,506,94218,0,43
192.168.88.60,12,297,0,5,3,1,1,80,SSH,0,Cowrie-SSH,1990,630,0,30
192.168.25.87,14,85,6,8,3,3,1,22,SSH,0,Cowrie-SSH,9871,2669,0,39
192.168.220.75,16,78,5,8,8,1,0,80,SSH,0,Cowrie-SSH,4285,1594,0,18
192.168.241.160,20,110,4,5,6,3,0,22,SSH,0,Cowrie-SSH,1672,12712,0,33
192.168.36.153,18,113,3,7,5,5,2,22,SSH,0,Web-Honeypot,632,57430,0,30
192.168.178.96,21,225,4,14,3,4,5,22,SSH,0,Cowrie-SSH,5297,8049,0,44
192.168.249.193,20,277,0,7,5,7,2,443,SSH,0,Cowrie-SSH,21129,8049,0,25
192.168.231.242,15,629,1,6,5,5,3,22,SSH,0,Web-Honeypot,2157,8085,0,33
192.168.188.182,14,226,1,8,4,1,2,22,SSH,0,Fake-Admin-Panel,2771,21811,0,35
192.168.252.27,18,69,1,6,5,5,0,22,SSH,0,Cowrie-SSH,353,11096,0,26
192.168.230.47,22,363,5,14,6,2,0,80,HTTPS,0,Fake-Admin-Panel,899,3974,0,36
192.168.148.136,14,221,4,10,2,3,4,22,SSH,0,Web-Honeypot,4264,6436,0,48
192.168.83.252,14,160,3,8,7,3,3,22,SSH,0,Cowrie-SSH,2013,27469,0,45
192.168.152.127,19,216,2,7,5,4,0,22,HTTPS,0,Web-Honeypot,1609,36350,0,20
192.168.72.167,17,61,3,15,6,4,3,22,HTTP,0,Fake-Admin-Panel,6142,2412,0,26
192.168.78.218,27,504,2,14,1,1,4,22,HTTP,0,Cowrie-SSH,29229,3884,1,52
192.168.163.121,20,761,3,5,2,1,8,80,SSH,0,Cowrie-SSH,1439,40751,0,44
192.168.228.51,20,111,4,9,3,6,1,22,HTTP,0,Cowrie-SSH,2674,9914,0,45
192.168.133.174,17,66,1,9,8,3,2,80,SSH,0,Cowrie-SSH,3282,1526,0,37
192.168.191.85,21,184,4,9,7,3,2,443,SSH,0,Cowrie-SSH,4903,966,0,28
192.168.71.39,17,73,8,5,5,4,3,22,SSH,0,Fake-Admin-Panel,7536,17266,1,61
192.168.231.213,20,264,1,14,6,6,3,443,SSH,0,Fake-Admin-Panel,2227,4636,0,41
192.168.170.29,15,127,1,7,6,6,3,22,SSH,0,Fake-Admin-Panel,6078,428,0,47
192.168.49.95,21,415,5,8,2,1,2,22,HTTP,0,Cowrie-SSH,537,14803,0,38
192.168.216.23,14,352,4,6,4,6,1,22,HTTPS,0,Cowrie-SSH,5315,9914,0,38
192.168.248.83,17,65,3,7,5,6,2,22,SSH,0,Web-Honeypot,9080,2941,0,38
192.168.15.221,20,181,4,8,4,6,1,22,SSH,0,Cowrie-SSH,558,4121,1,53
192.168.250.49,24,122,3,7,6,6,1,22,HTTP,0,Fake-Admin-Panel,453,17221,1,51
192.168.159.154,11,106,6,8,8,3,0,22,SSH,1,Cowrie-SSH,3916,27693,1,53
192.168.146.152,25,204,5,9,3,2,0,22,SSH,0,Cowrie-SSH,1478,757,0,35
192.168.129.37,21,119,1,6,11,2,0,80,SSH,0,Cowrie-SSH,2660,55032,0,23
192.168.160.189,16,163,0,3,6,5,2,80,SSH,0,Cowrie-SSH,1339,9443,0,15
192.168.123.106,16,133,1,8,5,0,1,80,HTTP,0,Cowrie-SSH,1807,6939,0,23
192.168.100.161,18,163,3,13,4,5,2,22,SSH,0,Web-Honeypot,14835,2167,0,38
192.168.57.224,17,317,1,9,4,4,3,22,SSH,0,Cowrie-SSH,486,2399,1,50
192.168.224.162,15,237,3,10,6,3,3,8080,SSH,0,Web-Honeypot,5291,3564,0,47
192.168.129.37,16,86,4,7,9,8,1,22,HTTPS,0,Fake-Admin-Panel,12355,28931,0,42
192.168.116.161,14,173,3,13,9,2,1,22,SSH,0,Cowrie-SSH,1194,5210,1,53
192.168.120.41,16,559,3,10,3,8,5,80,HTTPS,0,Web-Honeypot,13806,7144,1,63
192.168.127.51,16,340,1,9,10,6,2,22,SSH,0,Web-Honeypot,7507,7968,0,43
192.168.95.132,13,81,1,8,2,3,1,22,SSH,0,Web-Honeypot,1155,31873,0,29
192.168.186.227,13,92,3,10,8,7,0,443,HTTP,0,Cowrie-SSH,4572,2202,0,39
192.168.198.228,23,182,2,5,8,5,3,22,SSH,0,Fake-Admin-Panel,2288,3196,0,35
192.168.13.218,17,511,5,16,4,4,3,22,SSH,0,Web-Honeypot,2148,12474,0,45
192.168.128.118,19,191,4,10,5,3,0,22,SSH,0,Fake-Admin-Panel,3418,13436,0,49
192.168.172.81,17,329,2,8,3,2,3,22,SSH,0,Cowrie-SSH,4762,21177,0,39
192.168.68.62,21,387,3,10,8,2,2,443,HTTPS,0,Cowrie-SSH,280,1126,0,35
192.168.205.237,17,222,6,8,5,0,1,80,SSH,0,Cowrie-SSH,18404,1001,0,35
192.168.55.179,17,86,4,5,4,7,2,22,SSH,0,Cowrie-SSH,1456,11587,1,55
192.168.177.201,17,154,1,2,3,8,0,80,HTTP,0,Cowrie-SSH,4574,8711,0,20
192.168.86.58,21,157,3,17,8,4,2,80,SSH,0,Fake-Admin-Panel,23003,26230,0,44
192.168.13.250,17,442,2,8,8,8,2,8080,SSH,0,Fake-Admin-Panel,5294,1090,0,41
192.168.145.34,15,85,3,6,6,8,1,80,HTTPS,0,Cowrie-SSH,3830,4522,1,55
192.168.20.18,11,355,1,13,4,6,2,22,SSH,0,Cowrie-SSH,2149,152813,0,33
192.168.128.102,16,351,3,10,6,3,1,80,SSH,0,Cowrie-SSH,23059,1973,0,26
192.168.32.250,24,80,3,8,5,6,2,22,HTTP,0,Fake-Admin-Panel,1942,5460,0,44
192.168.13.225,20,373,4,9,10,4,3,22,SSH,0,Cowrie-SSH,2736,4712,0,39
192.168.177.207,12,56,5,11,7,5,1,8080,SSH,0,Cowrie-SSH,396,5814,0,49
192.168.77.113,12,15,1,5,7,3,2,80,SSH,0,Web-Honeypot,51497,13431,0,35
192.168.85.151,21,349,1,10,7,6,3,443,SSH,0,Fake-Admin-Panel,1866,1140,1,51
192.168.185.213,13,322,2,4,8,4,6,80,SSH,0,Cowrie-SSH,1442,40389,0,41
192.168.19.139,28,90,5,4,6,2,1,80,SSH,0,Cowrie-SSH,951,19072,0,22
192.168.199.102,22,306,3,8,11,0,1,8080,SSH,0,Cowrie-SSH,1092,48592,0,37
192.168.204.29,15,99,3,7,6,3,2,80,HTTP,0,Cowrie-SSH,4295,17724,0,26
192.168.84.26,11,216,2,7,2,6,3,22,HTTP,0,Cowrie-SSH,1885,5040,0,39
192.168.206.210,16,241,1,4,5,3,1,22,SSH,0,Cowrie-SSH,951,36037,0,1
192.168.116.62,13,444,1,13,4,6,1,80,HTTPS,1,Web-Honeypot,4418,19613,1,51
192.168.18.195,17,85,3,12,4,3,2,22,SSH,0,Web-Honeypot,4942,16002,0,45
192.168.243.167,19,365,3,8,4,4,2,443,SSH,0,Cowrie-SSH,6182,10142,0,37
192.168.223.141,22,181,1,11,11,3,2,443,HTTP,0,Fake-Admin-Panel,4050,10159,0,45
192.168.227.79,18,61,2,5,5,7,3,443,SSH,0,Web-Honeypot,4761,9605,0,39
192.168.3.95,16,171,5,4,5,3,1,443,SSH,0,Cowrie-SSH,4768,2282,0,33
192.168.114.57,25,71,2,9,2,3,1,22,SSH,0,Cowrie-SSH,1469,14399,0,21
192.168.123.19,13,167,5,5,8,3,2,22,SSH,0,Fake-Admin-Panel,5167,3050,0,47
192.168.128.132,25,248,3,8,8,5,0,443,SSH,0,Web-Honeypot,2766,13273,0,26
192.168.196.169,18,160,1,12,6,5,2,443,SSH,0,Cowrie-SSH,441,14167,0,24
192.168.250.45,14,230,4,7,1,6,2,80,SSH,0,Cowrie-SSH,1934,5176,0,17
192.168.63.235,13,207,0,12,3,5,3,80,SSH,0,Cowrie-SSH,6399,948,0,25
192.168.196.17,15,196,4,8,2,4,1,22,SSH,0,Cowrie-SSH,961,6495,0,26
192.168.52.59,24,212,2,7,6,1,2,22,HTTP,0,Cowrie-SSH,5586,34616,0,34
192.168.14.153,19,170,4,4,10,6,3,22,SSH,0,Web-Honeypot,2606,8606,0,33
192.168.219.176,23,121,2,6,10,4,2,80,SSH,0,Cowrie-SSH,3789,14449,0,40
192.168.178.12,24,219,1,10,6,7,4,443,SSH,0,Fake-Admin-Panel,7517,6357,1,51
192.168.255.108,14,328,3,4,4,9,0,22,SSH,0,Cowrie-SSH,993,1472,0,47
192.168.196.235,19,312,3,6,1,5,4,22,SSH,0,Fake-Admin-Panel,2909,2864,0,50
192.168.169.212,15,200,2,7,2,5,1,22,SSH,0,Cowrie-SSH,576,5077,0,37
192.168.237.200,10,159,3,9,8,2,2,80,SSH,0,Cowrie-SSH,4414,20809,0,34
192.168.180.36,16,608,5,10,5,9,0,80,HTTPS,0,Cowrie-SSH,5487,11692,0,42
192.168.122.213,18,533,1,8,4,6,3,22,SSH,0,Fake-Admin-Panel,2915,1696,0,17
192.168.105.32,13,264,2,3,6,8,0,80,HTTP,0,Cowrie-SSH,9685,10981,0,44
192.168.214.71,25,314,2,6,7,2,0,22,HTTPS,0,Cowrie-SSH,4317,9050,0,36
192.168.49.12,9,207,5,7,5,3,2,22,SSH,0,Fake-Admin-Panel,5966,13957,0,42
192.168.3.93,36,28,2,4,4,4,2,80,HTTP,0,Cowrie-SSH,9445,4993,0,49
192.168.100.98,20,685,2,7,5,2,2,22,HTTPS,1,Cowrie-SSH,577,18986,0,36
192.168.64.84,18,301,2,14,7,1,0,443,SSH,0,Cowrie-SSH,997,4807,0,23
192.168.134.127,21,155,6,14,7,2,3,80,HTTP,0,Cowrie-SSH,781,7441,1,59
192.168.144.9,12,249,2,3,3,5,1,80,SSH,0,Cowrie-SSH,980,2498,0,39
192.168.85.62,16,195,2,10,4,3,2,22,HTTPS,0,Cowrie-SSH,40689,5344,0,39
192.168.223.100,19,20,4,7,11,3,0,80,SSH,0,Cowrie-SSH,5223,1916,0,22
192.168.200.72,25,57,2,9,4,4,0,22,HTTP,0,Cowrie-SSH,3545,1550,0,25
192.168.126.115,25,130,2,10,6,2,1,22,HTTPS,0,Fake-Admin-Panel,4587,172,0,21
192.168.247.231,19,317,1,5,5,3,4,22,SSH,0,Cowrie-SSH,352,3481,0,33
192.168.236.21,14,106,1,11,7,2,0,80,SSH,0,Web-Honeypot,2711,15942,0,37
192.168.61.59,16,175,4,7,5,3,1,80,SSH,0,Cowrie-SSH,23478,5330,0,41
192.168.149.179,21,184,2,7,6,3,2,443,HTTP,0,Cowrie-SSH,792,19231,0,35
192.168.46.167,22,147,0,5,11,5,0,80,SSH,0,Cowrie-SSH,10205,6587,0,34
192.168.22.154,16,157,1,10,4,3,0,443,SSH,0,Cowrie-SSH,6739,25133,0,23
192.168.41.233,16,202,2,10,6,6,0,80,SSH,0,Web-Honeypot,682,2777,1,50
192.168.4.218,21,369,5,9,8,6,3,443,SSH,0,Cowrie-SSH,5773,60301,0,28
192.168.252.60,12,309,6,6,3,4,0,80,SSH,0,Cowrie-SSH,8045,4887,0,29
192.168.45.36,17,406,3,9,5,6,0,22,SSH,0,Web-Honeypot,1627,24567,0,49
192.168.167.80,16,331,3,12,2,5,0,22,SSH,0,Cowrie-SSH,413,7827,0,46
192.168.90.100,16,175,3,9,6,3,1,22,SSH,0,Fake-Admin-Panel,4542,5819,0,19
192.168.134.128,12,183,6,10,7,6,6,22,SSH,0,Cowrie-SSH,6239,4307,1,55
192.168.214.171,15,359,4,9,5,8,1,22,HTTP,0,Web-Honeypot,686,36383,0,46
192.168.209.236,17,275,3,7,7,6,2,443,SSH,0,Cowrie-SSH,1450,23255,0,13
192.168.223.61,20,204,3,4,6,2,2,22,HTTP,0,Cowrie-SSH,417,4578,0,33
192.168.28.149,22,41,1,7,6,1,4,80,SSH,0,Web-Honeypot,8647,2138,0,35
192.168.186.62,20,51,2,3,4,3,3,443,SSH,0,Web-Honeypot,2616,96311,0,38
192.168.234.147,19,249,3,9,4,7,1,80,SSH,0,Cowrie-SSH,930,14100,1,55
192.168.48.127,27,151,1,6,6,4,2,22,HTTP,1,Cowrie-SSH,2658,13707,1,61
192.168.12.107,22,68,1,11,5,5,1,22,HTTPS,0,Cowrie-SSH,353,27468,0,37
192.168.34.24,19,92,4,13,4,2,3,22,SSH,0,Web-Honeypot,1586,54725,0,49
192.168.67.156,14,443,3,8,7,2,0,22,HTTP,0,Cowrie-SSH,13444,9015,0,45
192.168.70.233,19,77,3,2,3,5,2,80,HTTP,0,Cowrie-SSH,4507,20630,0,33
192.168.106.232,24,124,5,4,9,4,1,22,SSH,0,Cowrie-SSH,9116,2996,0,19
192.168.201.89,18,408,5,10,11,5,3,80,HTTP,0,Cowrie-SSH,4308,23642,0,47
192.168.194.151,18,191,1,6,4,3,0,8080,SSH,0,Cowrie-SSH,4874,17762,0,29
192.168.192.47,10,221,4,9,7,8,1,22,SSH,0,Cowrie-SSH,18057,12731,0,49
192.168.67.128,21,69,3,5,1,2,1,80,HTTPS,0,Fake-Admin-Panel,6872,22607,0,12
